schemaname,tablename,indexname,tablespace,indexdef
public,google_integrations,index_google_integrations_on_account_list_id,,CREATE INDEX index_google_integrations_on_account_list_id ON google_integrations USING btree (account_list_id)
public,contacts,index_contacts_on_status,,CREATE INDEX index_contacts_on_status ON contacts USING btree (status)
public,contacts,index_contacts_on_status_valid,,CREATE INDEX index_contacts_on_status_valid ON contacts USING btree (status_valid)
public,contacts,index_contacts_on_total_donations,,CREATE INDEX index_contacts_on_total_donations ON contacts USING btree (total_donations)
public,contacts,index_contacts_on_tnt_id,,CREATE INDEX index_contacts_on_tnt_id ON contacts USING btree (tnt_id)
public,contacts,index_contacts_on_last_donation_date,,CREATE INDEX index_contacts_on_last_donation_date ON contacts USING btree (last_donation_date)
public,contacts,index_contacts_on_account_list_id,,CREATE INDEX index_contacts_on_account_list_id ON contacts USING btree (account_list_id)
public,designation_accounts,unique_designation_org,,"CREATE UNIQUE INDEX unique_designation_org ON designation_accounts USING btree (organization_id, designation_number)"
public,donations,index_donations_on_tnt_id,,CREATE INDEX index_donations_on_tnt_id ON donations USING btree (tnt_id)
public,donations,index_donations_on_des_acc_id_and_don_date_and_rem_id,,"CREATE INDEX index_donations_on_des_acc_id_and_don_date_and_rem_id ON donations USING btree (designation_account_id, donation_date DESC, remote_id)"
public,donations,index_donations_on_created_at,,CREATE INDEX index_donations_on_created_at ON donations USING btree (created_at)
public,donations,index_donations_on_appeal_id,,CREATE INDEX index_donations_on_appeal_id ON donations USING btree (appeal_id)
public,donations,index_donations_on_donation_date,,CREATE INDEX index_donations_on_donation_date ON donations USING btree (donation_date)
public,donations,unique_donation_designation,,"CREATE UNIQUE INDEX unique_donation_designation ON donations USING btree (designation_account_id, remote_id)"
public,donations,index_donations_on_donor_account_id,,CREATE INDEX index_donations_on_donor_account_id ON donations USING btree (donor_account_id)
public,account_list_entries,index_account_list_entries_on_designation_account_id,,CREATE INDEX index_account_list_entries_on_designation_account_id ON account_list_entries USING btree (designation_account_id)
public,account_list_entries,unique_account,,"CREATE UNIQUE INDEX unique_account ON account_list_entries USING btree (account_list_id, designation_account_id)"
